id_musica,titulo,artista,genero,ano_lancamento,duracao_ms,popularidade,streams_milhoes,danceability,energy,valence,acousticness,speechiness,liveness,bpm,tom,modo,explicito,selo
TRK00441,Soul Wild,Major Lazer,Electronic,2025,98196,86,1016.8,0.639,0.99,0.695,0.164,0.263,0.092,145,D,Menor,Sim,Atlantic Records
TRK00442,Corazón Suelta,Rosalía,Latin,2020,213978,82,945.7,0.779,0.667,0.822,0.216,0.301,0.183,124,F,Maior,Sim,Independent
TRK00443,Imposible Suelta,Maluma,Latin,2023,212581,60,734.4,0.957,0.808,0.797,0.253,0.387,0.214,78,E,Menor,Não,Columbia Records
TRK00444,Pain,Mitski,Indie,2019,157155,30,438.2,0.588,0.875,0.77,0.119,0.147,0.454,92,C#,Menor,Não,RCA Records
TRK00445,Mine,Dan + Shay,Country,2023,168114,62,680.6,0.671,0.532,0.357,0.296,0.108,0.204,134,C,Maior,Não,Capitol Records
TRK00446,Nothing Mind,Ed Sheeran,Pop,2019,256810,77,934.3,0.645,0.99,0.618,0.38,0.624,0.198,131,B,Maior,Sim,Def Jam
TRK00447,Suelta Corazón,Ozuna,Latin,2018,233483,64,706.6,0.737,0.761,0.626,0.526,0.065,0.588,111,C,Menor,Não,Columbia Records
TRK00448,Body Goodbye,Doja Cat,Hip-Hop,2018,290004,76,919.7,0.672,0.936,0.883,0.168,0.15,0.099,93,C#,Maior,Não,Def Jam
TRK00449,Everything Anywhere Star,Usher,R&B,2019,186347,96,1250.5,0.616,0.518,0.99,0.395,0.123,0.113,81,G#,Maior,Sim,Interscope
TRK00450,Suelta Sola,Bad Bunny,Latin,2023,171233,66,791.1,0.782,0.757,0.708,0.318,0.344,0.054,134,C,Maior,Sim,Republic Records
TRK00451,Shining Memories,"Tyler, The Creator",Hip-Hop,2021,220406,78,951.4,0.551,0.69,0.613,0.24,0.186,0.226,89,A,Menor,Sim,Sony Music
TRK00452,Burning,Selena Gomez,Pop,2019,233568,67,863.6,0.584,0.745,0.572,0.475,0.094,0.123,126,G#,Menor,Não,Atlantic Records
TRK00453,Hold Moon,Red Hot Chili Peppers,Rock,2021,228039,70,909.9,0.565,0.634,0.624,0.293,0.407,0.28,157,D,Menor,Não,Columbia Records
TRK00454,Closer Night,Ed Sheeran,Pop,2019,205578,54,674.9,0.771,0.423,0.319,0.635,0.351,0.25,142,C#,Menor,Não,RCA Records
TRK00455,Despacito,Camilo,Latin,2022,222985,70,851.7,0.732,0.713,0.543,0.501,0.104,0.14,132,G#,Maior,Não,Independent
TRK00456,Night,Calvin Harris,Electronic,2025,280466,61,778.7,0.766,0.686,0.304,0.217,0.122,0.281,119,F#,Menor,Não,Universal Music
TRK00457,Today Hello,Linkin Park,Rock,2016,165109,47,528.3,0.671,0.782,0.868,0.387,0.331,0.08,107,A#,Maior,Não,Republic Records
TRK00458,Shadow,Cardi B,Hip-Hop,2015,181782,44,522.0,0.822,0.338,0.75,0.328,0.1,0.233,116,B,Maior,Sim,Atlantic Records
TRK00459,Dark,Panic! At The Disco,Rock,2019,211859,63,791.1,0.431,0.854,0.792,0.034,0.442,0.38,135,C#,Maior,Sim,RCA Records
TRK00460,Heaven Shadow,Foo Fighters,Rock,2025,251374,46,654.9,0.665,0.895,0.757,0.227,0.09,0.263,112,F#,Menor,Não,Republic Records
TRK00461,Higher Star Kiss,Bruno Mars,Pop,2023,255570,45,495.5,0.764,0.904,0.679,0.359,0.109,0.134,122,A#,Maior,Sim,Republic Records
TRK00462,Hello Beautiful Dark,Miranda Lambert,Country,2020,213025,65,740.0,0.627,0.687,0.783,0.289,0.208,0.409,121,C#,Menor,Não,Sony Music
TRK00463,Heaven Yesterday,Daniel Caesar,R&B,2021,245711,100,1071.5,0.608,0.599,0.793,0.21,0.02,0.033,101,D,Maior,Sim,Universal Music
TRK00464,Anywhere Stay,Vampire Weekend,Indie,2014,202760,42,585.2,0.644,0.521,0.618,0.625,0.179,0.34,100,C,Maior,Não,Sony Music
TRK00465,Kiss Want,Arcade Fire,Indie,2022,226568,80,1055.1,0.337,0.813,0.396,0.159,0.214,0.239,64,E,Maior,Não,Def Jam
TRK00466,Stay Everything,J. Cole,Hip-Hop,2018,231842,41,448.8,0.703,0.855,0.304,0.311,0.094,0.236,68,E,Menor,Não,Interscope
TRK00467,Imposible Corazón,Ozuna,Latin,2013,238280,48,674.9,0.909,0.723,0.587,0.561,0.288,0.256,138,B,Maior,Sim,Sony Music
TRK00468,Loca,Don Omar,Reggaeton,2025,198015,93,1153.3,0.915,0.978,0.744,0.411,0.096,0.281,132,A,Menor,Sim,RCA Records
TRK00469,Laugh Dance,Harry Styles,Pop,2022,201812,71,856.2,0.742,0.507,0.571,0.043,0.262,0.169,101,B,Maior,Não,Independent
TRK00470,Nothing,Fall Out Boy,Rock,2012,216266,84,1047.8,0.546,0.871,0.27,0.376,0.432,0.041,171,E,Menor,Sim,Def Jam
TRK00471,Hold Shadow,Selena Gomez,Pop,2025,174901,65,676.6,0.842,0.531,0.624,0.11,0.214,0.209,92,A,Maior,Não,Capitol Records
TRK00472,Star Need,Green Day,Rock,2025,219597,70,823.7,0.496,0.767,0.174,0.093,0.508,0.151,130,F#,Maior,Não,Independent
TRK00473,Heart,Florence + The Machine,Indie,2020,255662,56,769.7,0.391,0.632,0.617,0.39,0.163,0.062,130,G#,Menor,Não,Independent
TRK00474,Alone Moon,Glass Animals,Indie,2019,217393,75,857.4,0.432,0.649,0.275,0.142,0.077,0.062,143,E,Maior,Não,Columbia Records
TRK00475,Everything Shine Crazy,Diplo,Electronic,2011,195428,62,701.1,0.942,0.89,0.232,0.524,0.21,0.289,120,A,Menor,Não,Def Jam
TRK00476,Feel Gone Sun,Justin Bieber,Pop,2016,212216,63,717.1,0.613,0.696,0.703,0.256,0.211,0.22,125,F#,Menor,Sim,Independent
TRK00477,Beautiful,Bruno Mars,Pop,2017,259712,73,815.3,0.862,0.652,0.362,0.362,0.339,0.073,110,A#,Menor,Não,RCA Records
TRK00478,Tomorrow Hold,Dan + Shay,Country,2023,196877,61,632.6,0.546,0.665,0.684,0.628,0.199,0.084,102,D#,Menor,Não,Columbia Records
TRK00479,Better Maybe Stay,Doja Cat,Hip-Hop,2023,174562,62,754.5,0.775,0.511,0.99,0.664,0.159,0.146,102,D#,Maior,Não,Sony Music
TRK00480,Apart Shadow,Megan Thee Stallion,Hip-Hop,2023,256035,51,621.6,0.784,0.635,0.497,0.181,0.039,0.063,93,C,Maior,Não,Columbia Records
TRK00481,Summer Paradise Laugh,Paramore,Rock,2014,167294,63,754.6,0.433,0.901,0.391,0.422,0.131,0.076,132,F#,Maior,Não,Republic Records
TRK00482,Hold Summer,Muse,Rock,2014,199016,38,590.5,0.416,0.844,0.49,0.12,0.132,0.258,97,A#,Maior,Sim,Interscope
TRK00483,Te Quiero Sola,Ozuna,Latin,2018,215263,80,936.1,0.826,0.654,0.436,0.053,0.187,0.073,130,C,Maior,Não,Warner Music
TRK00484,Dark Free Pain,Skrillex,Electronic,2024,165002,76,908.9,0.817,0.786,0.504,0.566,0.163,0.074,128,D,Maior,Não,Warner Music
TRK00485,Light Us,Foo Fighters,Rock,2018,239456,63,784.4,0.474,0.861,0.877,0.275,0.071,0.29,122,B,Maior,Não,Interscope
TRK00486,Maybe Sunshine,J. Cole,Hip-Hop,2022,169032,64,709.4,0.682,0.746,0.765,0.599,0.117,0.318,106,B,Menor,Sim,Warner Music
TRK00487,Apart Closer,Florence + The Machine,Indie,2013,202687,50,610.3,0.419,0.62,0.819,0.258,0.321,0.312,110,B,Menor,Não,Republic Records
TRK00488,Bésame Corazón,Nicky Jam,Latin,2020,211828,72,796.3,0.783,0.935,0.549,0.269,0.235,0.121,134,A#,Menor,Não,Capitol Records
TRK00489,Provócame,Camilo,Latin,2011,216804,44,633.1,0.777,0.783,0.669,0.237,0.171,0.16,114,A#,Menor,Não,RCA Records
TRK00490,Anywhere Heart,Giveon,R&B,2015,186903,82,959.8,0.829,0.637,0.446,0.037,0.206,0.105,108,F#,Maior,Sim,Capitol Records
TRK00491,Angel Goodbye,Taylor Swift,Pop,2021,183938,84,923.0,0.707,0.518,0.618,0.265,0.286,0.073,107,D,Maior,Não,Atlantic Records
TRK00492,Vida Despacito,Maluma,Latin,2015,268209,82,1003.7,0.841,0.845,0.634,0.251,0.089,0.273,143,C#,Maior,Não,Columbia Records
TRK00493,Tu Sonrisa,Rosalía,Latin,2025,101241,61,779.8,0.828,0.806,0.387,0.26,0.192,0.056,131,C,Menor,Não,Atlantic Records
TRK00494,Apart Sky,Muse,Rock,2010,172169,60,664.5,0.549,0.698,0.381,0.295,0.174,0.228,143,D#,Menor,Não,Universal Music
TRK00495,Joy Together,MGMT,Indie,2012,280682,75,868.0,0.651,0.71,0.537,0.154,0.073,0.347,133,B,Maior,Não,RCA Records
TRK00496,Wild,Travis Scott,Hip-Hop,2018,242265,68,903.4,0.727,0.562,0.417,0.65,0.231,0.332,85,C#,Menor,Não,Warner Music
TRK00497,Memories Goodbye,Billie Eilish,Pop,2022,149045,41,436.5,0.451,0.645,0.455,0.214,0.487,0.162,142,C,Menor,Não,RCA Records
TRK00498,Fire Hello,Panic! At The Disco,Rock,2024,234905,59,666.3,0.628,0.877,0.652,0.512,0.101,0.055,87,A#,Menor,Não,Columbia Records
TRK00499,Alone Feel,Foo Fighters,Rock,2023,207721,93,1015.5,0.691,0.649,0.216,0.242,0.248,0.297,135,D,Maior,Não,Capitol Records
TRK00500,Together Lonely Everything,Mac Miller,Indie,2024,224118,57,702.6,0.443,0.35,0.405,0.321,0.033,0.126,106,D#,Menor,Não,Sony Music
TRK00501,Cry Bright,Eminem,Hip-Hop,2016,186679,53,661.9,0.725,0.419,0.463,0.357,0.128,0.257,121,A#,Maior,Não,Def Jam
TRK00502,Shine Laugh Cry,Olivia Rodrigo,Pop,2016,236074,61,668.2,0.72,0.397,0.628,0.198,0.038,0.129,124,A#,Menor,Não,Republic Records
TRK00503,Us,Muse,Rock,2024,162799,53,554.8,0.674,0.953,0.728,0.424,0.234,0.184,134,E,Maior,Não,Atlantic Records
TRK00504,Dark Maybe,Miranda Lambert,Country,2025,151688,97,1151.3,0.535,0.601,0.227,0.07,0.173,0.091,111,A#,Maior,Sim,Def Jam
TRK00505,Believe,Kendrick Lamar,Hip-Hop,2023,212620,72,934.6,0.833,0.673,0.51,0.281,0.134,0.197,81,A#,Maior,Sim,Capitol Records
TRK00506,Anywhere Summer,Cardi B,Hip-Hop,2023,186928,58,715.9,0.71,0.687,0.833,0.247,0.097,0.048,116,B,Menor,Sim,Republic Records
TRK00507,Dance Tomorrow,Beyoncé,R&B,2017,231271,87,966.8,0.502,0.747,0.127,0.336,0.278,0.41,80,C#,Maior,Sim,Columbia Records
TRK00508,Body,Billie Eilish,Pop,2025,227915,71,797.6,0.764,0.643,0.678,0.417,0.046,0.077,110,F#,Menor,Não,Republic Records
TRK00509,Feel Night Us,The Weeknd,Rock,2013,195612,43,578.2,0.488,0.729,0.624,0.056,0.138,0.257,144,C,Maior,Sim,Independent
TRK00510,Despacito Mi Amor,Rauw Alejandro,Latin,2014,204843,41,458.8,0.849,0.717,0.423,0.672,0.287,0.082,121,C#,Menor,Não,Columbia Records
TRK00511,Falling,The 1975,Indie,2023,225155,47,542.7,0.525,0.716,0.525,0.177,0.165,0.149,88,A#,Maior,Não,Def Jam
TRK00512,Sunshine We,Linkin Park,Rock,2013,224724,29,364.5,0.722,0.594,0.531,0.201,0.02,0.143,111,A#,Maior,Não,Capitol Records
TRK00513,Heart Apart,"Tyler, The Creator",Hip-Hop,2022,250090,91,1127.7,0.709,0.856,0.508,0.177,0.16,0.287,89,C,Maior,Sim,Capitol Records
TRK00514,Shining,Skrillex,Electronic,2023,213389,65,755.7,0.928,0.899,0.695,0.152,0.319,0.319,123,B,Menor,Não,Republic Records
TRK00515,Goodbye Wild,"Tyler, The Creator",Hip-Hop,2022,289913,59,670.6,0.868,0.445,0.437,0.322,0.185,0.273,100,E,Maior,Sim,Republic Records
TRK00516,Apart,Sabrina Carpenter,Pop,2015,141045,93,1059.6,0.733,0.631,0.436,0.49,0.095,0.175,129,C#,Menor,Não,Def Jam
TRK00517,Run,Frank Ocean,R&B,2014,172143,63,705.3,0.648,0.454,0.828,0.324,0.486,0.165,103,F,Menor,Não,RCA Records
TRK00518,Tonight Falling,Sabrina Carpenter,Pop,2021,202646,86,1010.7,0.628,0.655,0.708,0.45,0.097,0.2,102,D#,Menor,Sim,RCA Records
TRK00519,Pain Hello,Twenty One Pilots,Rock,2014,308430,63,685.9,0.618,0.748,0.804,0.331,0.222,0.288,81,F,Menor,Não,RCA Records
TRK00520,Stronger Always,Olivia Rodrigo,Pop,2023,255453,68,731.6,0.736,0.639,0.728,0.137,0.05,0.182,120,D,Menor,Não,Atlantic Records
TRK00521,Want Shining Moon,Florida Georgia Line,Country,2023,126128,77,1002.3,0.562,0.662,0.697,0.257,0.203,0.27,97,A#,Maior,Sim,Capitol Records
TRK00522,Lonely Run,Glass Animals,Indie,2018,263992,88,1039.9,0.919,0.768,0.587,0.233,0.13,0.189,105,A#,Maior,Não,Atlantic Records
TRK00523,Bailando Bailando,Nicky Jam,Latin,2025,112589,58,590.7,0.748,0.662,0.395,0.106,0.039,0.156,136,A,Maior,Não,RCA Records
TRK00524,Together Today,Dan + Shay,Country,2022,250402,76,908.0,0.555,0.704,0.551,0.441,0.084,0.068,118,F,Menor,Não,Independent
TRK00525,Sunshine Yesterday,Doja Cat,Hip-Hop,2015,157181,65,750.2,0.789,0.727,0.641,0.177,0.115,0.453,104,F#,Menor,Sim,Capitol Records
TRK00526,Laugh Believe,Daft Punk,Electronic,2012,232283,59,627.5,0.693,0.756,0.636,0.031,0.309,0.419,132,D,Maior,Sim,Capitol Records
TRK00527,Star Want,Kygo,Electronic,2024,174503,57,708.0,0.77,0.745,0.379,0.264,0.289,0.176,107,G,Maior,Não,Universal Music
TRK00528,Fire Higher,Olivia Rodrigo,Pop,2022,216634,93,1138.3,0.713,0.718,0.214,0.422,0.02,0.134,136,F,Menor,Não,Capitol Records
TRK00529,Fire,Fall Out Boy,Rock,2018,207939,52,647.1,0.595,0.768,0.737,0.538,0.391,0.301,101,B,Menor,Não,Independent
TRK00530,Mine Better,The 1975,Indie,2025,254827,59,767.0,0.483,0.503,0.506,0.417,0.09,0.02,115,C#,Menor,Não,RCA Records
TRK00531,Shadow Everything,"Tyler, The Creator",Hip-Hop,2017,191786,69,778.3,0.715,0.91,0.755,0.319,0.118,0.114,110,F,Menor,Não,Columbia Records
TRK00532,Light,MGMT,Indie,2019,237426,89,1072.9,0.639,0.635,0.33,0.468,0.042,0.105,102,D#,Maior,Não,Warner Music
TRK00533,Hello Wild,Avicii,Electronic,2019,222752,55,735.1,0.778,0.99,0.328,0.538,0.213,0.163,108,B,Maior,Não,Warner Music
TRK00534,Stay Star,H.E.R.,R&B,2017,246632,76,930.6,0.743,0.538,0.386,0.391,0.125,0.214,84,D#,Maior,Não,Independent
TRK00535,Magic,H.E.R.,R&B,2021,181285,64,717.9,0.76,0.629,0.813,0.177,0.113,0.199,99,A,Maior,Sim,Universal Music
TRK00536,Body,Bruno Mars,Pop,2023,200616,100,1076.4,0.716,0.732,0.667,0.194,0.231,0.106,110,E,Maior,Sim,Warner Music
TRK00537,Falling,Skrillex,Electronic,2021,202280,80,895.8,0.637,0.566,0.51,0.498,0.214,0.101,117,A,Menor,Não,Sony Music
TRK00538,Nothing Tears,Zach Bryan,Country,2018,178627,40,461.3,0.595,0.748,0.894,0.491,0.096,0.263,108,D,Menor,Não,Warner Music
TRK00539,Tomorrow Tears,Sabrina Carpenter,Pop,2016,231037,94,1157.7,0.724,0.557,0.476,0.039,0.115,0.337,112,F#,Menor,Sim,RCA Records
TRK00540,Shadow Light,Taylor Swift,Pop,2018,235775,71,795.7,0.717,0.598,0.469,0.101,0.355,0.298,115,D,Maior,Não,Independent
TRK00541,Lonely,Katy Perry,Pop,2019,271793,88,1037.7,0.76,0.863,0.703,0.489,0.091,0.243,118,C#,Menor,Não,Capitol Records
TRK00542,Always,Giveon,R&B,2022,197482,87,955.6,0.577,0.567,0.75,0.347,0.18,0.149,108,C,Menor,Não,Capitol Records
TRK00543,Mine Need Joy,Doja Cat,Hip-Hop,2015,201097,60,693.0,0.582,0.707,0.578,0.339,0.151,0.15,73,D,Menor,Sim,RCA Records
TRK00544,Falling,Maroon 5,Rock,2024,246710,78,788.5,0.513,0.714,0.622,0.073,0.262,0.311,103,F#,Menor,Não,RCA Records
TRK00545,Body,Charlie Puth,Pop,2015,170769,94,1114.7,0.705,0.709,0.508,0.511,0.159,0.276,148,C,Menor,Sim,Capitol Records
TRK00546,Nothing Better,John Legend,R&B,2019,183147,60,748.4,0.689,0.516,0.639,0.352,0.044,0.261,96,A#,Menor,Não,Sony Music
TRK00547,Mind Better Laugh,Lil Wayne,Hip-Hop,2015,101101,34,383.6,0.636,0.67,0.583,0.438,0.187,0.048,104,F#,Maior,Não,Atlantic Records
TRK00548,Free Yours Soul,Muse,Rock,2017,219049,100,1217.0,0.684,0.663,0.204,0.369,0.354,0.258,121,E,Menor,Não,Capitol Records
TRK00549,Bésame Loca,Daddy Yankee,Latin,2021,205917,78,890.7,0.823,0.553,0.781,0.462,0.112,0.532,117,B,Maior,Não,Republic Records
TRK00550,Hold Apart Laugh,Bruno Mars,Pop,2023,184830,86,1032.0,0.95,0.547,0.597,0.575,0.135,0.405,101,D,Menor,Não,Independent
TRK00551,I AM,BTS,K-Pop,2019,257865,85,943.5,0.643,0.717,0.554,0.356,0.193,0.103,134,G,Menor,Não,Sony Music
TRK00552,Yours Crazy,Billie Eilish,Pop,2023,183492,88,1157.1,0.709,0.636,0.741,0.15,0.264,0.136,105,F#,Menor,Sim,RCA Records
TRK00553,Tears Forever,Summer Walker,R&B,2025,184150,68,853.0,0.65,0.641,0.25,0.253,0.137,0.081,88,G,Maior,Não,Warner Music
TRK00554,Young Dream,Cardi B,Hip-Hop,2025,192571,79,968.7,0.747,0.655,0.668,0.27,0.274,0.044,108,B,Maior,Sim,RCA Records
TRK00555,Better,Usher,R&B,2021,207516,61,802.7,0.734,0.782,0.446,0.226,0.135,0.103,86,D,Maior,Não,Republic Records
TRK00556,Provócame Tu Sonrisa,Zion & Lennox,Reggaeton,2022,219549,82,991.3,0.678,0.801,0.519,0.18,0.338,0.161,129,C,Maior,Sim,RCA Records
TRK00557,Soul Pain,Dan + Shay,Country,2022,251480,60,693.0,0.552,0.672,0.578,0.251,0.236,0.096,90,E,Maior,Não,Columbia Records
TRK00558,Everything Body Love,SZA,R&B,2016,129931,69,831.2,0.584,0.474,0.741,0.051,0.151,0.581,106,G#,Maior,Não,Atlantic Records
TRK00559,Hold Stay,Diplo,Electronic,2016,195550,60,722.6,0.79,0.809,0.599,0.079,0.108,0.164,116,G#,Menor,Não,Capitol Records
TRK00560,Loco Suelta,Daddy Yankee,Latin,2022,248424,46,595.0,0.843,0.783,0.99,0.442,0.102,0.124,123,A,Maior,Não,Def Jam
TRK00561,Mine,OneRepublic,Rock,2023,175624,100,1228.7,0.347,0.713,0.537,0.425,0.121,0.02,106,D#,Maior,Não,Independent
TRK00562,Shadow Lonely,Phoebe Bridgers,Indie,2024,244196,36,447.1,0.551,0.708,0.553,0.303,0.247,0.189,122,E,Maior,Não,Universal Music
TRK00563,Alone Apart,Future,Hip-Hop,2019,217176,28,293.6,0.702,0.477,0.615,0.482,0.245,0.303,86,F,Maior,Sim,Warner Music
TRK00564,Young Sun,Carrie Underwood,Country,2017,182535,73,990.0,0.495,0.618,0.386,0.374,0.401,0.13,99,D#,Menor,Não,Republic Records
TRK00565,Cry Want,Kanye West,Hip-Hop,2019,225731,48,654.0,0.791,0.714,0.427,0.506,0.054,0.26,97,C#,Maior,Não,Warner Music
TRK00566,Laugh Love Together,Usher,R&B,2013,150505,53,568.3,0.689,0.7,0.858,0.716,0.193,0.382,97,F,Menor,Não,Universal Music
TRK00567,Moon Wild,Panic! At The Disco,Rock,2021,260899,85,993.1,0.788,0.714,0.419,0.208,0.346,0.227,124,D#,Maior,Não,Capitol Records
TRK00568,Star Together Dream,Shawn Mendes,Pop,2012,253899,34,424.4,0.583,0.482,0.271,0.215,0.246,0.154,146,A#,Maior,Não,Capitol Records
TRK00569,Feel Heart Higher,Coldplay,Rock,2024,199363,79,878.7,0.691,0.772,0.99,0.385,0.15,0.09,109,F,Menor,Não,Interscope
TRK00570,Apart Heaven,Frank Ocean,R&B,2015,202542,56,692.2,0.632,0.597,0.332,0.773,0.267,0.078,90,A,Menor,Não,Republic Records
TRK00571,Higher Somewhere Yours,Post Malone,Hip-Hop,2025,230004,79,1031.0,0.806,0.594,0.629,0.119,0.116,0.203,106,E,Menor,Não,Columbia Records
TRK00572,Tonight Angel,Dua Lipa,Pop,2025,182793,88,1205.2,0.621,0.789,0.727,0.416,0.273,0.183,114,F#,Maior,Não,Republic Records
TRK00573,Today Heart,Charlie Puth,Pop,2024,196728,84,994.8,0.547,0.737,0.391,0.142,0.394,0.224,101,D,Menor,Não,Warner Music
TRK00574,Soul Mind,The 1975,Indie,2017,219397,57,839.5,0.814,0.482,0.512,0.3,0.071,0.152,128,B,Maior,Não,Universal Music
TRK00575,Today Tonight,Selena Gomez,Pop,2025,244077,40,469.2,0.791,0.708,0.706,0.314,0.041,0.289,108,E,Menor,Não,Def Jam
TRK00576,Need Night,Lil Wayne,Hip-Hop,2019,241165,87,1054.0,0.713,0.425,0.276,0.295,0.138,0.305,84,A#,Maior,Sim,Interscope
TRK00577,Falling Want,Daft Punk,Electronic,2016,193140,60,722.8,0.882,0.859,0.556,0.09,0.067,0.141,116,G,Menor,Não,Columbia Records
TRK00578,Yesterday Rain,Keith Urban,Country,2021,239957,64,830.0,0.511,0.776,0.546,0.116,0.074,0.13,117,F,Menor,Não,Warner Music
TRK00579,Alone Crazy Goodbye,Chris Brown,R&B,2019,147186,43,505.1,0.714,0.488,0.353,0.002,0.049,0.022,86,F,Menor,Não,Columbia Records
TRK00580,Tu Sonrisa,Rauw Alejandro,Latin,2010,172344,89,1046.0,0.778,0.748,0.455,0.056,0.249,0.543,134,F,Menor,Não,Def Jam
TRK00581,Memories,Arctic Monkeys,Rock,2021,259498,63,818.0,0.739,0.868,0.949,0.192,0.072,0.374,151,B,Maior,Não,Republic Records
TRK00582,Tonight,Future,Hip-Hop,2017,199649,86,993.6,0.7,0.657,0.721,0.193,0.105,0.188,101,G,Maior,Não,Sony Music
TRK00583,Summer,Harry Styles,Pop,2022,230320,86,1130.7,0.603,0.611,0.725,0.288,0.361,0.189,132,C#,Menor,Não,Atlantic Records
TRK00584,Never Memories,Kanye West,Hip-Hop,2016,200593,79,1002.1,0.698,0.711,0.324,0.31,0.126,0.247,85,D,Maior,Sim,Warner Music
TRK00585,Today Yesterday,Olivia Rodrigo,Pop,2016,201811,58,653.3,0.661,0.602,0.614,0.113,0.283,0.229,106,G#,Menor,Não,Capitol Records
TRK00586,Joy Tears,Charlie Puth,Pop,2021,233805,79,866.7,0.757,0.78,0.593,0.194,0.114,0.223,122,A#,Menor,Não,Def Jam
TRK00587,Need Star,Daft Punk,Electronic,2023,213314,66,759.4,0.818,0.797,0.483,0.411,0.071,0.034,131,C#,Menor,Não,Capitol Records
TRK00588,Hello Burning,Future,Hip-Hop,2025,182122,67,733.1,0.905,0.456,0.225,0.029,0.219,0.103,94,D,Menor,Sim,Universal Music
TRK00589,Moon,Lil Wayne,Hip-Hop,2014,193719,36,487.1,0.935,0.51,0.6,0.134,0.12,0.403,96,F#,Menor,Sim,Def Jam
TRK00590,Apart,Alan Walker,Electronic,2023,258406,64,741.3,0.835,0.659,0.508,0.598,0.228,0.146,142,G#,Menor,Não,Columbia Records
TRK00591,Mine Stronger Heaven,Arctic Monkeys,Rock,2025,235409,94,1103.6,0.427,0.841,0.626,0.179,0.415,0.119,134,D#,Menor,Não,Sony Music
TRK00592,Nothing Young,21 Savage,Hip-Hop,2024,231487,39,535.7,0.774,0.521,0.75,0.318,0.067,0.279,93,E,Maior,Sim,Sony Music
TRK00593,Angel Cry Moon,Chris Brown,R&B,2024,162872,47,512.4,0.723,0.683,0.767,0.276,0.108,0.121,106,D,Maior,Não,Republic Records
TRK00594,Spring Day,BTS,K-Pop,2021,240525,60,729.8,0.792,0.715,0.593,0.078,0.219,0.193,141,D,Menor,Não,Sony Music
TRK00595,Mi Amor,Karol G,Latin,2015,180293,63,705.6,0.855,0.764,0.521,0.234,0.115,0.285,134,F#,Menor,Não,Def Jam
TRK00596,Yesterday Dream,Mitski,Indie,2025,182957,84,858.0,0.596,0.499,0.288,0.5,0.209,0.356,97,D,Maior,Sim,Columbia Records
TRK00597,Together,Future,Hip-Hop,2014,183786,65,809.5,0.769,0.584,0.315,0.672,0.256,0.328,79,E,Menor,Sim,Def Jam
TRK00598,Us Never,Lana Del Rey,Indie,2025,223192,61,699.1,0.707,0.458,0.261,0.286,0.219,0.054,119,C,Maior,Não,Republic Records
TRK00599,Shadow,Muse,Rock,2020,175935,52,529.4,0.666,0.783,0.527,0.291,0.367,0.195,117,G,Menor,Não,Independent
TRK00600,Suelta,Maluma,Latin,2024,225790,76,864.5,0.682,0.84,0.618,0.203,0.195,0.457,103,G#,Maior,Não,Universal Music
TRK00601,Run Better,Cardi B,Hip-Hop,2017,207040,82,977.5,0.709,0.503,0.342,0.414,0.123,0.303,60,D#,Maior,Não,Universal Music
TRK00602,Heart Believe,Future,Hip-Hop,2022,205480,89,1028.9,0.726,0.77,0.417,0.386,0.244,0.029,102,F#,Maior,Sim,Atlantic Records
TRK00603,Tears Hello Yours,Taylor Swift,Pop,2011,250134,84,1089.9,0.755,0.799,0.518,0.17,0.22,0.022,92,G,Maior,Não,Sony Music
TRK00604,Despacito,Anitta,Latin,2013,208140,45,500.9,0.843,0.892,0.99,0.268,0.061,0.111,110,G#,Maior,Não,Independent
TRK00605,Soul Need,Ed Sheeran,Pop,2020,244413,57,761.8,0.423,0.99,0.498,0.366,0.253,0.021,140,C,Menor,Não,Def Jam
TRK00606,Fire Moon,Travis Scott,Hip-Hop,2024,206824,96,1148.8,0.726,0.71,0.389,0.16,0.326,0.085,93,G#,Menor,Sim,Def Jam
TRK00607,Touch Yesterday,Dua Lipa,Pop,2021,221237,75,1028.1,0.781,0.831,0.924,0.166,0.195,0.31,136,A,Maior,Não,Atlantic Records
TRK00608,Rising Heaven Together,Dua Lipa,Pop,2015,196538,53,692.1,0.648,0.633,0.404,0.646,0.098,0.196,106,A#,Menor,Não,Columbia Records
TRK00609,Bailando Provócame,Nicky Jam,Latin,2019,177851,57,674.8,0.742,0.77,0.594,0.52,0.196,0.253,119,B,Maior,Não,RCA Records
TRK00610,Young Bright Sun,Summer Walker,R&B,2025,175342,50,664.1,0.759,0.507,0.775,0.307,0.209,0.274,104,E,Menor,Não,Capitol Records
TRK00611,Tonight,Twenty One Pilots,Rock,2011,215342,73,903.1,0.631,0.7,0.62,0.475,0.35,0.112,115,C,Maior,Não,Capitol Records
TRK00612,Summer Moon,Taylor Swift,Pop,2019,265380,81,920.3,0.725,0.539,0.861,0.431,0.109,0.188,126,A,Menor,Sim,Republic Records
TRK00613,Sky Better,Summer Walker,R&B,2025,213899,49,502.2,0.813,0.444,0.403,0.162,0.094,0.157,124,C#,Maior,Não,Republic Records
TRK00614,Attention,Stray Kids,K-Pop,2016,153164,54,650.1,0.733,0.637,0.706,0.157,0.229,0.107,106,C#,Menor,Não,Def Jam
TRK00615,Soul Somewhere,Tame Impala,Indie,2019,203634,63,737.9,0.443,0.454,0.626,0.332,0.269,0.126,93,C,Menor,Não,Columbia Records
